Ticker,Company,Description
APLD,Applied Digital Corp,designs and operates next-generation data centers tailored for high-performance computing and artificial intelligence workloads.
RGTI,Rigetti Computing Inc,"develops full-stack quantum computing systems, integrating proprietary chip design with cloud-based software services. "
ASTS,Ast Spacemobile Inc,building the first space-based cellular broadband network designed to be accessible directly by standard mobile phones.
NBIS,Yandex Nv,"technology company focusing on developing autonomous driving, cloud infrastructure, and AI-centric technologies. "
TSLA,Tesla Inc,"vertically integrated sustainable energy company manufacturing electric vehicles, solar panels, and battery storage systems. "
INTC,Intel Corp,designs and manufactures essential semiconductor technologies for computing and communications devices worldwide.
GME,Gamestop Corp,global omnichannel video game and consumer electronics retailer offering new and pre-owned products.
META,Meta Platforms Inc,develops technologies that help people connect and build communities through social media and immersive metaverse experiences.
SOFI,Sofi Technologies Inc,"comprehensive digital financial services platform offering lending, investing, and banking products in a single app. "
PLTR,Palantir Technologies Inc,"builds software that empowers organizations to integrate their data, decisions, and operations at scale. "
NVDA,Nvidia Corp,"pioneer in accelerated computing, specializing in graphics processing units (GPUs) for gaming and artificial intelligence. "
HOOD,Robinhood Markets Inc,"financial services platform democratizing finance with commission-free stock trading, crypto, and cash management. "
AMZN,Amazon.Com Inc,"global leader in e-commerce retail, cloud computing via AWS, and digital streaming services. "
IREN,Iren Ltd,operates next-generation data centers powered by renewable energy for Bitcoin mining and AI cloud services.
MSTR,Strategy Inc,enterprise analytics software company that has adopted bitcoin as its primary treasury reserve asset.
OPEN,Opendoor Technologies Inc,digital platform for residential real estate that simplifies buying and selling homes through instant offers.
AMD,Advanced Micro Devices Inc,develops high-performance computing and visualization products for business and consumer markets.
HIMS,Hims & Hers Health Inc,multi-specialty telehealth platform connecting patients to licensed healthcare professionals for personalized care.
GOOGL,Alphabet Inc,"multinational technology conglomerate encompassing Google search, advertising, cloud computing, and software services. "
SOUN,Soundhound Ai Inc,develops independent voice artificial intelligence platforms enabling conversational experiences for businesses.
UNH,Unitedhealth Group Inc,diversified healthcare enterprise offering health care coverage and technology-enabled health services.
AAPL,Apple Inc,"designs and markets premium consumer electronics, computer software, and digital services worldwide. "
SMCI,Super Micro Computer Inc,"provides high-performance, energy-efficient server and storage solutions for enterprise data centers. "
DKNG,Draftkings Inc,digital sports entertainment and gaming company providing sports betting and daily fantasy sports products.
